;AF MAINTENANCE;Betafonce;COMATELEC SCHREDER FR76578200693;F.I.A.F;fernagut;GREYPE FRANCE SAS FR53753407485;L2G;LA NOYELLOISE FR16408576676;sofinor;VINMERFR20300379450;VOLMA SASFR96383256146
AF MAINTENANCE;5.0;2.0;0.0;3.0;9.0;0.0;0.0;0.0;1.0;0.0;0.0
Betafonce;0.0;23.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
COMATELEC SCHREDER FR76578200693;0.0;0.0;7.0;0.0;2.0;0.0;0.0;1.0;1.0;8.0;0.0
F.I.A.F;4.0;1.0;1.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0
fernagut;1.0;2.0;0.0;1.0;10.0;0.0;0.0;0.0;4.0;1.0;1.0
GREYPE FRANCE SAS FR53753407485;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;6.0;8.0;0.0
L2G;0.0;0.0;1.0;0.0;10.0;0.0;1.0;0.0;2.0;3.0;0.0
LA NOYELLOISE FR16408576676;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0
sofinor;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;12.0;1.0;0.0
VINMERFR20300379450;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0
VOLMA SASFR96383256146;0.0;0.0;1.0;2.0;10.0;0.0;0.0;1.0;1.0;3.0;2.0
